Employment,EdLevel,YearsCode,YearsCodePro,OrgSize,Country,Gender,WorkExp,RemoteWork,Compensation_usd
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,5,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",38720
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,3,20 to 99 employees,United States of America,NA,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,2,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",58080
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,10,20 to 99 employees,United States of America,Man,14,Fully remote,194400
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,5,2 to 9 employees,United States of America,Man,5,"Hybrid (some remote, some in-person)",65000
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,5,"5,000 to 9,999 employees",United States of America,Man,5,Fully remote,110000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16,9,20 to 99 employees,Germany,Man,9,"Hybrid (some remote, some in-person)",90100
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,5,20 to 99 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",106960
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,14,"10,000 or more employees",United States of America,Man,14,"Hybrid (some remote, some in-person)",130000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,21,"10,000 or more employees",United States of America,Man,21,Fully remote,102000
"Employed, full-time","Associate degree (A.A., A.S., etc.)",20,15,100 to 499 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",130000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,5,"1,000 to 4,999 employees",United States of America,Woman,5,Fully remote,135000
"Employed, full-time",Some college/university study without earning a degree,40,25,20 to 99 employees,Germany,Man,28,"Hybrid (some remote, some in-person)",106000
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7,4,100 to 499 employees,Germany,Man,7,Fully remote,4240
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,10,100 to 499 employees,United States of America,Man,12,Fully remote,170000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,5,100 to 499 employees,United States of America,Woman,5,Fully remote,141000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,2,100 to 499 employees,Germany,Woman,2,"Hybrid (some remote, some in-person)",63600
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,12,500 to 999 employees,United States of America,Man,NA,Fully remote,150000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,2,"10,000 or more employees",Germany,Man,5,"Hybrid (some remote, some in-person)",63600
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24,20,500 to 999 employees,United States of America,Man,27,Fully remote,160000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,7,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,7,Fully remote,66550
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,7,100 to 499 employees,United States of America,Man,7,"Hybrid (some remote, some in-person)",95000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,6,100 to 499 employees,Germany,Man,NA,"Hybrid (some remote, some in-person)",71020
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,5,10 to 19 employees,United States of America,Woman,5,Fully remote,166000
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",6,3,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",50820
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,4,100 to 499 employees,United States of America,Man,4,Fully remote,92000
"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,26,22,100 to 499 employees,United States of America,Man,22,Fully remote,450000
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,1,"10,000 or more employees",Germany,Man,1,"Hybrid (some remote, some in-person)",79500
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,4,10 to 19 employees,United Kingdom of Great Britain and Northern Ireland,Prefer not to say,4,Fully remote,45980
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22,17,100 to 499 employees,United States of America,Woman,NA,"Hybrid (some remote, some in-person)",200000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,7,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",72600
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,10,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,Man,10,"Hybrid (some remote, some in-person)",75625
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",27,25,"1,000 to 4,999 employees",United States of America,Man,30,"Hybrid (some remote, some in-person)",130000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,3,100 to 499 employees,United States of America,Man,3,"Hybrid (some remote, some in-person)",110000
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,32,28,10 to 19 employees,United States of America,Man,28,Fully remote,6000000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,22,500 to 999 employees,United States of America,Man,NA,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,5,"10,000 or more employees",United States of America,Man,5,Fully remote,98000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26,24,100 to 499 employees,United States of America,Man,NA,Fully remote,144000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,20,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",118580
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18,11,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,77440
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,11,"1,000 to 4,999 employees",United States of America,Man,11,"Hybrid (some remote, some in-person)",200000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,7,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Man,7,"Hybrid (some remote, some in-person)",72600
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,1,"1,000 to 4,999 employees",United States of America,Man,NA,"Hybrid (some remote, some in-person)",132000
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",10,7,20 to 99 employees,Germany,Man,7,"Hybrid (some remote, some in-person)",7632
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",32,23,500 to 999 employees,Germany,Man,NA,"Hybrid (some remote, some in-person)",164300
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",29,15,2 to 9 employees,United States of America,Man,15,Fully remote,136000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,1,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",26620
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,5,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,6,Fully remote,52030
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",48,45,"1,000 to 4,999 employees",United States of America,Man,NA,Fully remote,400000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,NA,I don’t know,United States of America,Woman,NA,"Hybrid (some remote, some in-person)",130000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30,18,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Man,18,"Hybrid (some remote, some in-person)",131890
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",30,25,2 to 9 employees,United States of America,Man,NA,Fully remote,NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25,15,500 to 999 employees,United States of America,Man,NA,Fully remote,200000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,7,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Man,7,Fully remote,114345
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30,23,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",90750
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,3,"1,000 to 4,999 employees",United Kingdom of Great Britain and Northern Ireland,Man,2,"Hybrid (some remote, some in-person)",39930
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30,10,2 to 9 employees,Germany,NA,NA,Fully remote,NA
"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,45,40,"Just me - I am a freelancer, sole proprietor, etc.",Germany,Man,NA,Fully remote,159000
"Employed, full-time","Associate degree (A.A., A.S., etc.)",12,10,10 to 19 employees,United Kingdom of Great Britain and Northern Ireland,Man,10,Fully remote,54450
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,3,20 to 99 employees,United States of America,Man,3,Fully remote,110000
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",12,1,100 to 499 employees,United States of America,Man,1,"Hybrid (some remote, some in-person)",70000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",38,32,500 to 999 employees,United States of America,Man,NA,Fully remote,NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,4,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,3,I don’t know,United States of America,Man,NA,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",39,27,500 to 999 employees,United States of America,Man,27,Fully remote,NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",32,32,500 to 999 employees,United States of America,Man,NA,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,8,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,8,"Hybrid (some remote, some in-person)",58080
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,9,100 to 499 employees,United States of America,Man,11,Fully remote,100000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,NA,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Man,1,Fully remote,26620
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,15,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",205700
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",32,26,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,"Non-binary, genderqueer, or gender non-conforming",NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,4,500 to 999 employees,United States of America,NA,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,14,100 to 499 employees,United States of America,Man,14,Fully remote,147000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,2,100 to 499 employees,United States of America,Man,2,Fully remote,172000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,7,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,Man,7,Fully remote,56870
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19,14,20 to 99 employees,United States of America,Woman,14,"Hybrid (some remote, some in-person)",101000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",28,25,500 to 999 employees,United States of America,NA,NA,Fully remote,NA
"Employed, full-time","Associate degree (A.A., A.S., etc.)",9,9,"1,000 to 4,999 employees",United States of America,Man,17,Fully remote,120000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,7,"5,000 to 9,999 employees",United States of America,Man,NA,Fully remote,NA
"Employed, full-time","Associate degree (A.A., A.S., etc.)",23,19,"10,000 or more employees",United States of America,Woman,19,Fully remote,160000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,4,100 to 499 employees,United States of America,Woman,4,Fully remote,175000
"Employed, full-time",Some college/university study without earning a degree,5,2,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time",Some college/university study without earning a degree,48,46,2 to 9 employees,United States of America,Man,46,Fully remote,100000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24,20,10 to 19 employees,Germany,Man,20,"Hybrid (some remote, some in-person)",67840
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,5,10 to 19 employees,United States of America,Man,NA,Fully remote,75000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26,22,"1,000 to 4,999 employees",United States of America,Man,27,"Hybrid (some remote, some in-person)",250000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,15,500 to 999 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",NA
"Independent contractor, freelancer, or self-employed",Primary/elementary school,5,2,"Just me - I am a freelancer, sole proprietor, etc.",United States of America,Man,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",22,11,100 to 499 employees,Germany,Man,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,7,500 to 999 employees,United States of America,Man,7,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,7,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Man,7,"Hybrid (some remote, some in-person)",93170
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",38,23,"1,000 to 4,999 employees",United States of America,Man,25,"Hybrid (some remote, some in-person)",140000
"Employed, full-time;Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",29,25,"1,000 to 4,999 employees",United Kingdom of Great Britain and Northern Ireland,Man,25,Fully remote,121000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,2,"1,000 to 4,999 employees",United Kingdom of Great Britain and Northern Ireland,Man,1,"Hybrid (some remote, some in-person)",40535
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,2,100 to 499 employees,United States of America,Man,2,"Hybrid (some remote, some in-person)",67000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,18,"10,000 or more employees",United States of America,Man,18,"Hybrid (some remote, some in-person)",315000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,4,10 to 19 employees,United States of America,Man,NA,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,4,"10,000 or more employees",United States of America,Man,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,3,100 to 499 employees,Germany,Man,NA,Fully remote,71020
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,3,100 to 499 employees,United States of America,Man,NA,Fully remote,150000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,8,100 to 499 employees,United States of America,Man,10,"Hybrid (some remote, some in-person)",104000
"Employed, full-time",Some college/university study without earning a degree,10,5,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,1,20 to 99 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",155000
"Employed, full-time",Something else,7,7,10 to 19 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",25410
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",8,6,2 to 9 employees,United States of America,Man,NA,Fully remote,90000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,10,500 to 999 employees,United States of America,Man,25,Fully remote,206000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,5,100 to 499 employees,United States of America,Man,5,Fully remote,160000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,3,100 to 499 employees,United States of America,Man,15,"Hybrid (some remote, some in-person)",45000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,6,100 to 499 employees,United States of America,Man,14,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,2,100 to 499 employees,United States of America,Man,3,"Hybrid (some remote, some in-person)",130000
"Employed, full-time",Some college/university study without earning a degree,18,10,"5,000 to 9,999 employees",United States of America,Man,10,Fully remote,230000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,12,"1,000 to 4,999 employees",United States of America,Man,18,Fully remote,155000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22,19,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,Man,19,"Hybrid (some remote, some in-person)",133100
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",35,24,2 to 9 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,4,"1,000 to 4,999 employees",United Kingdom of Great Britain and Northern Ireland,Man,4,Fully remote,72600
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,6,500 to 999 employees,Germany,Man,11,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,4,100 to 499 employees,United States of America,Man,6,Fully remote,130000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",29,24,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,78650
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,1,100 to 499 employees,United States of America,Man,1,"Hybrid (some remote, some in-person)",80000
"Employed, full-time",Some college/university study without earning a degree,5,4,I don’t know,United States of America,Man,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,4,"10,000 or more employees",United States of America,Man,NA,"Hybrid (some remote, some in-person)",240000
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20,20,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6,1,"1,000 to 4,999 employees",Germany,Man,1,"Hybrid (some remote, some in-person)",44520
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17,NA,500 to 999 employees,United States of America,Man,1,"Hybrid (some remote, some in-person)",100000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,7,20 to 99 employees,United States of America,Man,6,Fully remote,75000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,3,"1,000 to 4,999 employees",United States of America,Man,8,Fully remote,120000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27,20,500 to 999 employees,United States of America,Man,NA,Fully remote,160000
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",38,32,"10,000 or more employees",United States of America,Man,31,"Hybrid (some remote, some in-person)",175000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,11,20 to 99 employees,United States of America,Man,11,"Hybrid (some remote, some in-person)",150000
"Employed, full-time",Some college/university study without earning a degree,14,14,500 to 999 employees,United States of America,Man,14,Fully remote,120000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",26,20,"10,000 or more employees",United States of America,Man,20,Fully remote,210000
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21,20,100 to 499 employees,United States of America,Man,20,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",50,40,"1,000 to 4,999 employees",United States of America,Man,NA,"Hybrid (some remote, some in-person)",350000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,4,"5,000 to 9,999 employees",United States of America,Man,4,"Hybrid (some remote, some in-person)",109000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,4,"1,000 to 4,999 employees",United States of America,Man,4,"Hybrid (some remote, some in-person)",70000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,5,"10,000 or more employees",United States of America,Man,NA,Fully remote,100000
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,1,20 to 99 employees,Germany,"Man;Non-binary, genderqueer, or gender non-conforming",NA,Fully remote,12720
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,15,500 to 999 employees,United States of America,Woman,20,Fully remote,8000
"Employed, full-time",Some college/university study without earning a degree,10,2,100 to 499 employees,United States of America,Man,2,Fully remote,52800
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,10,2 to 9 employees,United Kingdom of Great Britain and Northern Ireland,Man,10,Fully remote,48400
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,22,500 to 999 employees,United States of America,Man,23,Fully remote,160000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,9,"5,000 to 9,999 employees",United States of America,Man,9,"Hybrid (some remote, some in-person)",124000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17,12,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,12,"Hybrid (some remote, some in-person)",121000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,20,20 to 99 employees,United States of America,Man,20,Fully remote,205000
